day,home_team,away_team,home_score,away_score
34,Paris Saint-Germain,AS Nancy-Lorraine,1 , 1
34,Stade Brestois 29,Toulouse FC,0 , 1
34,SC Toulon,FC Nantes,1 , 1
34,Stade Rennais FC,LOSC Lille,0 , 0
34,FC Metz,Stade Lavallois,0 , 0
34,RC Lens,FC Rouen 1899,4 , 2
34,SC Bastia,Nîmes Olympique,1 , 1
35,RC Strasbourg,AS Monaco FC,0 , 1
35,Girondins de Bordeaux,Paris Saint-Germain,2 , 1
35,AS Nancy-Lorraine,AJ Auxerre,0 , 1
35,FC Nantes,Stade Brestois 29,4 , 0
35,Toulouse FC,FC Metz,3 , 1
35,FC Sochaux-Montbéliard,SC Toulon,8 , 2
35,Stade Lavallois,RC Lens,3 , 0
35,FC Rouen 1899,AS Saint-Etienne,1 , 1
35,LOSC Lille,SC Bastia,0 , 0
35,Nîmes Olympique,Stade Rennais FC,1 , 1
36,FC Metz,FC Nantes,2 , 1
36,AS Monaco FC,FC Rouen 1899,1 , 0
36,AJ Auxerre,Girondins de Bordeaux,1 , 4
36,AS Saint-Etienne,Toulouse FC,0 , 1
36,Stade Rennais FC,FC Sochaux-Montbéliard,0 , 1
36,Stade Brestois 29,Stade Lavallois,1 , 0
36,LOSC Lille,Nîmes Olympique,1 , 0
36,SC Bastia,AS Nancy-Lorraine,0 , 1
36,SC Toulon,RC Lens,3 , 0
36,Paris Saint-Germain,RC Strasbourg,2 , 0
37,Girondins de Bordeaux,SC Bastia,2 , 1
37,Toulouse FC,AS Monaco FC,1 , 1
37,RC Strasbourg,AJ Auxerre,2 , 1
37,FC Rouen 1899,Paris Saint-Germain,0 , 1
37,FC Nantes,AS Saint-Etienne,1 , 0
37,FC Sochaux-Montbéliard,LOSC Lille,1 , 0
37,Stade Lavallois,SC Toulon,0 , 2
37,RC Lens,Stade Brestois 29,3 , 2
37,Nîmes Olympique,FC Metz,3 , 7
37,AS Nancy-Lorraine,Stade Rennais FC,1 , 3
38,Stade Rennais FC,Girondins de Bordeaux,0 , 2
38,AS Monaco FC,FC Nantes,3 , 0
38,AJ Auxerre,FC Rouen 1899,1 , 0
38,Paris Saint-Germain,Toulouse FC,1 , 0
38,Nîmes Olympique,FC Sochaux-Montbéliard,2 , 2
38,SC Bastia,RC Strasbourg,4 , 2
38,LOSC Lille,AS Nancy-Lorraine,2 , 0
38,AS Saint-Etienne,Stade Lavallois,1 , 0
38,FC Metz,RC Lens,3 , 0
38,Stade Brestois 29,SC Toulon,5 , 2
