kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-12-14	Stade de la Route-de-Lorient	Rennes	Valenciennes	2 - 0	2	0	1	0	0	1	1638	1612	26	9.3	-4.42578	-14.19153
2012-12-15	Stadium Municipal	Toulouse	Marseille	0 - 1	0	1	0	0	1	3	1620	1633	13	9.6	-10.70679	-49.04468
2012-12-15	Stade Auguste Delaune II	Reims	Lille	1 - 1	1	1	0	1	0	2	1512	1699	187	4.9	-12.02161	-20.66589
2012-12-15	Stade de l'Aube	Troyes	Ajaccio	3 - 2	3	2	1	0	0	1	1459	1559	100	12.8	-11.72681	-6.17908
2012-12-15	Stade Bonal	Sochaux	Brest	1 - 2	1	2	0	0	1	3	1551	1553	2	9.9	2.39758	1.01245
2012-12-15	Stade de la Mosson	Montpellier	Bastia	4 - 0	4	0	1	0	0	1	1682	1518	164	5.6	16.10864	3.6709
2012-12-15	Stade du Ray	Nice	Evian	3 - 2	3	2	1	0	0	1	1610	1569	41	8.8	34.01404	11.52454
2012-12-16	Stade Marcel Picot	Nancy	Bordeaux	1 - 1	1	1	0	1	0	2	1535	1711	176	4.7	11.4928	-0.88513
2012-12-16	Stade Geoffroy-Guichard	St Etienne	Lorient	0 - 2	0	2	0	0	1	3	1654	1597	57	11.6	1.64221	43.99829
2012-12-16	Parc des Princes	PSG	Lyon	1 - 0	1	0	1	0	0	1	1787	1744	43	8.8	19.32727	10.10962
2012-12-21	Stade Francis-le Blé	Brest	PSG	0 - 3	0	3	0	0	1	3	1563	1792	229	4.2	2.04712	37.28687
2012-12-22	Grand Stade Lille Métropole	Lille	Montpellier	4 - 1	4	1	1	0	0	1	1696	1688	8	9.8	-22.79456	17.06287
2012-12-22	Stade Jean-Laville	Bastia	Nancy	4 - 2	4	2	1	0	0	1	1513	1538	25	10.7	3.46814	9.80457
2012-12-22	Stade du Moustoir	Lorient	Reims	2 - 2	2	2	0	1	0	2	1614	1515	99	2.8	42.26501	-8.77942
2012-12-22	Stade de Gerland	Lyon	Nice	3 - 0	3	0	1	0	0	1	1739	1615	124	6.6	-2.17151	27.97864
2012-12-22	Stade Jacques Chaban-Delmas	Bordeaux	Troyes	0 - 0	0	0	0	1	0	2	1708	1468	240	6	-12.59937	-5.88965
2012-12-22	Stade Francois-Coty	Ajaccio	Rennes	2 - 4	2	4	0	0	1	3	1550	1646	96	7.3	-7.83875	-13.25317
2012-12-23	Stade du Hainaut	Valenciennes	Evian	2 - 1	2	1	1	0	0	1	1604	1564	40	8.9	-27.95422	-1.08704
2012-12-23	Stadium Municipal	Toulouse	Sochaux	2 - 0	2	0	1	0	0	1	1610	1541	69	8	-20.19189	-25.35559
2012-12-23	Stade Vélodrome	Marseille	St Etienne	1 - 0	1	0	1	0	0	1	1642	1638	4	9.9	-40.77197	-21.14832
2013-01-11	Stade Geoffroy-Guichard	St Etienne	Toulouse	2 - 2	2	2	0	1	0	2	1632	1617	15	0.4	-18.39905	-9.99902
2013-01-11	Parc des Princes	PSG	Ajaccio	0 - 0	0	0	0	1	0	2	1799	1539	260	6.3	24.68506	-11.5459
2013-01-12	Stade de l'Aube	Troyes	Lyon	1 - 2	1	2	0	0	1	3	1475	1745	270	3.5	10.30066	-5.7644
2013-01-12	Parc des Sports, Annecy	Evian	Brest	0 - 2	0	2	0	0	1	3	1559	1555	4	10.1	-4.64392	-4.7334
