start	name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict	count	ratio
2015	Julien Féret	2	874.5	585.1	1002.39387191	273.070143575	0	4	1	0	0	1	1	0.751988780456	11	0.0683626164051
2015	Julien-Antoine Begue	0	168.8	78.5	102.111611827	38.4451643165	0	0	0	0	0	0	0	0.291212169511	2	0.145606084756
2015	Junior Tallo	0	1405.9	790.7	1279.89112702	257.673917637	3	8	5	0	0	1	0	2.3026333397	16	0.143914583731
2015	Jussie	0	85.6	52.3	99.074758021	14.5825237871	0	0	0	0	0	0	0	0.182566237562	1	0.182566237562
2015	Jérémy Morel	0	244.6	193.8	353.428100899	74.5056700928	1	1	0	0	1	0	0	0.159892812357	3	0.0532976041189
2015	Jérémy Pied	0	333.3	153.7	278.661989384	104.304661647	0	3	1	0	0	0	0	0.194377318711	4	0.0485943296778
2015	Jérémy Sorbon	0	190.2	76.9	62.2000704438	26.7734177559	1	2	1	0	0	0	0	0.20360583045	2	0.101802915225
2015	Jérémy Toulalan	0	145.8	96.5	167.0747452	66.327676922	0	1	1	0	0	0	0	0.0166016424716	2	0.0083008212358
2015	Jérôme Roussillon	0	167.1	102.0	184.274621565	58.8954437238	0	0	0	0	1	0	0	0.0405435598502	2	0.0202717799251
2015	Kader Mangane	1	352.7	195.7	326.076447478	57.0347783955	2	3	2	0	0	0	1	0.438729169676	4	0.109682292419
2015	Kamil Grosicki	3	1105.6	781.9	1454.42260283	327.93221566	0	0	0	0	0	0	0	0.936759448592	13	0.0720584191225
2015	Karim Rekik	1	184.1	100.6	182.854904797	16.1496432188	1	2	2	0	0	0	0	0.354738901212	2	0.177369450606
2015	Kevin Gomis	0	76.6	24.0	41.9872124958	34.9794225224	0	0	0	0	0	0	0	0.00818839533152	1	0.00818839533152
2015	Kevin Soni	0	78.6	78.5	143.097949844	35.6400056117	0	0	0	0	0	0	0	0.00789992235307	1	0.00789992235307
2015	Khalid Boutaib	0	914.6	529.9	1021.61953416	244.22998474	3	3	1	0	0	0	1	0.638913429335	11	0.0580830390304
2015	Koffi Djidji	0	90.5	42.1	50.2538027513	12.3555655476	0	1	1	0	0	0	0	0.143368483973	1	0.143368483973
2015	Kolbeinn Sigthorsson	0	1106.7	688.1	1207.73515015	261.535479541	2	4	1	0	0	0	0	1.42782180503	13	0.109832446541
2015	Kévin Berigaud	0	828.5	502.2	891.637642976	204.719671966	3	5	1	0	0	1	0	0.786447212479	10	0.0786447212479
2015	Kévin Mayi	1	562.4	369.7	672.38559185	154.869527597	2	1	1	0	0	0	1	0.384135535831	7	0.0548765051186
2015	Kévin Monnet-Paquet	1	1177.0	660.1	1244.17733517	328.665593876	2	1	0	1	2	1	0	0.923985267405	14	0.0659989476718
2015	Kévin Théophile-Catherine	0	91.6	42.5	48.2397002961	11.2609946275	0	0	0	0	0	0	0	0.268294307646	1	0.268294307646
2015	Lacina Traoré	0	88.6	47.2	76.200514604	11.7388244727	1	0	0	0	0	0	0	0.109384535441	1	0.109384535441
2015	Lamine Koné	0	455.3	245.8	377.221069952	68.0722085757	4	4	3	0	0	0	0	0.36980360361	5	0.0739607207219
2015	Lars Jacobsen	0	242.9	92.4	131.72023394	84.2504752483	0	0	0	0	0	0	0	0.116403726268	3	0.0388012420894
2015	Lass Diarra	1	77.7	54.4	101.161626215	22.7299362076	0	0	1	0	0	0	0	0.0319826217135	1	0.0319826217135
2015	Lassana Couibaly	1	182.5	83.8	95.701281951	23.9349794382	1	2	1	0	0	0	0	0.251383253251	2	0.125691626626
2015	Layvin Kurzawa	1	463.0	266.6	572.808179127	40.8238680912	5	5	1	0	0	0	0	0.981678995872	5	0.196335799174
2015	Lenny Nangis	0	641.0	305.8	515.282793188	203.306210386	1	1	0	0	0	0	0	0.403552378496	8	0.0504440473121
2015	Lionel Mathis	0	470.3	246.1	418.663950738	149.360695598	0	3	1	1	0	0	0	0.279571978959	6	0.0465953298264
2015	Loic Perrin	3	648.6	355.1	672.794766204	55.6819394978	5	7	7	0	0	0	0	1.146753393	7	0.163821913286
2015	Lorik Cana	0	83.3	62.4	126.59443929	20.8002403832	0	0	0	0	0	0	0	0.0777362341392	1	0.0777362341392
2015	Lossemy Karaboue	0	866.7	567.1	1014.08772119	282.709620291	0	5	0	0	0	0	0	0.854119059329	11	0.0776471872117
2015	Louis Poggi	0	76.3	74.6	136.067499684	34.159186173	0	0	0	0	0	0	0	0.00993977967872	1	0.00993977967872
2015	Lucas Moura	1	747.5	390.1	594.813055351	171.591964744	0	1	0	0	1	1	0	1.07220017191	9	0.119133352434
2015	Lucas Ocampos	1	1267.5	846.9	1584.14210811	335.046158139	0	5	0	0	0	0	0	1.54829758706	15	0.103219839137
2015	Lucas Silva	0	609.1	390.0	684.462823698	209.45003953	0	1	0	0	0	0	0	0.287636005134	8	0.0359545006418
2015	Ludovic Baal	0	180.5	138.2	304.90636628	42.9390013308	1	1	1	0	0	0	0	0.0667503049069	2	0.0333751524535
2015	Léo Dubois	0	76.2	53.4	98.1301023542	24.0416305603	0	0	0	0	1	0	0	0.046936675214	1	0.046936675214
2015	Mahamane Traoré	1	93.7	46.0	57.5876933816	7.46257328272	0	1	0	0	0	0	0	0.403705795642	1	0.403705795642
2015	Majeed Waris	2	1549.0	766.6	1167.54794156	378.167348079	2	5	1	0	0	1	4	1.65987361186	18	0.0922152006587
2015	Mana Dembele	0	248.7	116.8	173.254365891	61.4533329976	0	0	0	0	0	0	0	0.277715341147	3	0.0925717803824
2015	Mapou Yanga-Mbiwa	0	88.7	52.6	102.957580094	11.5952576513	1	0	0	0	0	0	0	0.113472915519	1	0.113472915519
2015	Marcel Tisserand	0	422.7	202.6	313.681281281	101.304735863	1	0	0	0	0	0	0	0.440374887462	5	0.0880749774924
2015	Marco Verratti	0	153.0	82.3	142.159920696	59.3365131914	0	1	1	0	0	0	0	0.0328526297223	2	0.0164263148611
2015	Marcos Lopes	0	93.3	39.7	33.0434157569	12.287391912	0	0	0	0	0	0	0	0.235466519469	1	0.235466519469
2015	Marcus Coco	0	669.8	417.7	744.390032479	168.096921998	1	4	2	0	0	0	0	0.56348785561	8	0.0704359819513
2015	Mario Lemina	0	497.4	290.9	563.394724612	112.333503614	3	4	2	0	0	0	0	0.401792199245	6	0.0669653665408
2015	Mario Pasalic	1	547.2	292.2	494.691911028	57.6984541119	5	6	1	0	0	0	0	0.978551857148	6	0.163091976191
