start;day;home;away;first_t1;first_t2;second_t1;second_t2;t1_rank;t2_rank;result_first_t1;result_first_t2;result_second_t1;result_second_t2;result_projection_second_t1;result_projection_second_t2
2002;9;EA Guingamp;RC Strasbourg;2;3;1;3;6;12;0;3;0;3;0.9;1.81
2002;9;AS Monaco FC;Stade Rennais FC;2;1;0;0;3;16;3;0;1;1;1.14;1.16
2002;9;Montpellier Hérault SC;Paris Saint-Germain;1;1;3;1;20;10;1;1;3;0;1;1.67
2002;9;FC Sochaux-Montbéliard;OGC Nice;1;0;2;2;7;2;3;0;1;1;1.14;1.16
2002;9;ESTAC Troyes;Olympique Lyonnais;1;1;0;0;19;4;1;1;1;1;1;1.67
2002;9;RC Lens;LOSC Lille;0;0;2;0;8;13;1;1;3;0;1;1.67
2002;9;CS Sedan;Havre AC;4;0;1;2;14;17;3;0;0;3;1.14;1.16
2002;10;Stade Rennais FC;Olympique Lyonnais;0;1;1;4;16;4;0;3;0;3;0.9;1.81
2002;10;Paris Saint-Germain;EA Guingamp;5;0;2;3;10;6;3;0;0;3;1.14;1.16
2002;10;OGC Nice;SC Bastia;2;0;1;1;2;15;3;0;1;1;1.14;1.16
2002;10;AJ Auxerre;AS Monaco FC;1;1;1;3;5;3;1;1;0;3;1;1.67
2002;10;RC Strasbourg;ESTAC Troyes;2;1;0;1;12;19;3;0;0;3;1.14;1.16
2002;10;Havre AC;FC Sochaux-Montbéliard;1;0;0;1;17;7;3;0;0;3;1.14;1.16
2002;10;Girondins de Bordeaux;CS Sedan;2;2;1;0;11;14;1;1;3;0;1;1.67
2002;10;AC Ajaccio;FC Nantes;1;0;0;1;18;9;3;0;0;3;1.14;1.16
2002;10;LOSC Lille;Olympique de Marseille;3;0;0;2;13;1;3;0;0;3;1.14;1.16
2002;10;Montpellier Hérault SC;RC Lens;0;2;0;4;20;8;0;3;0;3;0.9;1.81
2002;11;FC Nantes;OGC Nice;0;0;1;1;9;2;1;1;1;1;1;1.67
2002;11;FC Sochaux-Montbéliard;Girondins de Bordeaux;2;0;0;2;7;11;3;0;0;3;1.14;1.16
2002;11;Olympique Lyonnais;AJ Auxerre;3;0;2;1;4;5;3;0;3;0;1.14;1.16
2002;11;Olympique de Marseille;RC Strasbourg;1;0;0;0;1;12;3;0;1;1;1.14;1.16
2002;11;CS Sedan;Stade Rennais FC;1;3;0;1;14;16;0;3;0;3;0.9;1.81
2002;11;ESTAC Troyes;Paris Saint-Germain;1;2;2;4;19;10;0;3;0;3;0.9;1.81
2002;11;EA Guingamp;Montpellier Hérault SC;3;1;0;2;6;20;3;0;0;3;1.14;1.16
2002;11;AS Monaco FC;LOSC Lille;1;1;3;1;3;13;1;1;3;0;1;1.67
2002;11;SC Bastia;Havre AC;3;1;0;2;15;17;3;0;0;3;1.14;1.16
2002;11;RC Lens;AC Ajaccio;1;1;0;0;8;18;1;1;1;1;1;1.67
2002;12;Paris Saint-Germain;Olympique de Marseille;3;0;3;0;10;1;3;0;3;0;1.14;1.16
2002;12;RC Strasbourg;SC Bastia;2;0;1;1;12;15;3;0;1;1;1.14;1.16
2002;12;AJ Auxerre;Stade Rennais FC;1;0;0;0;5;16;3;0;1;1;1.14;1.16
2002;12;OGC Nice;RC Lens;0;0;0;0;2;8;1;1;1;1;1;1.67
2002;12;AC Ajaccio;Olympique Lyonnais;0;1;1;3;18;4;0;3;0;3;0.9;1.81
2002;12;Girondins de Bordeaux;AS Monaco FC;2;2;1;0;11;3;1;1;3;0;1;1.67
