"start","day","name","home_avg","away_avg"
1936,2,"EAC Roubaix",0.5,1.5
1936,2,"FC Antibes",0.5,0
1936,2,"FC Antibes",0.5,3
1936,2,"FC Antibes",0.5,0
1936,2,"FC Antibes",0.5,0
1936,2,"FC Antibes",0.5,1.5
1936,2,"FC Mulhouse",0,0
1936,2,"FC Mulhouse",0,0
1936,2,"FC Mulhouse",0,0
1936,2,"FC Mulhouse",0,0.5
1936,2,"FC Mulhouse",0,1.5
1936,2,"AS Red Star 93",1,0
1936,2,"AS Red Star 93",1,1.5
1936,2,"AS Red Star 93",1,1.5
1936,2,"SC Fives",1.5,0
1936,2,"SC Fives",1.5,0
1936,2,"SC Fives",1.5,2
1936,2,"Olympique de Marseille",3,0
1936,2,"Olympique de Marseille",3,1.5
1936,2,"Olympique de Marseille",3,0.5
1936,2,"Stade Rennais FC",1.5,0
1936,2,"Stade Rennais FC",1.5,1.5
1936,2,"Stade Rennais FC",1.5,2
1936,2,"RC Strasbourg",3,0
1936,2,"RC Strasbourg",3,0.5
1936,2,"RC Strasbourg",3,0
1936,2,"SC Fives",1.5,0.5
1936,2,"SC Fives",1.5,0
1936,2,"EAC Roubaix",0.5,0
1936,4,"AS Cannes",1.5,0.5
1936,4,"AS Cannes",1.5,0.5
1936,4,"AS Cannes",1.5,2
1936,4,"AS Cannes",1.5,3
1936,4,"AS Cannes",1.5,0.5
1936,4,"AS Cannes",1.5,0
1936,4,"FC Metz",1.5,0.5
1936,4,"FC Metz",1.5,0
1936,4,"FC Metz",1.5,2
1936,4,"FC Metz",1.5,1.5
1936,4,"FC Metz",1.5,0
1936,4,"FC Metz",1.5,0.5
1936,4,"FC Sochaux-Montbéliard",3,0.5
